,from_bus,Latitude_from_bus,Longitude_from_bus,to_bus,Latitude_to_bus,Longitude_to_bus
0,148.0,34.439084,-118.58276299999999,149.0,34.388084,-118.58276299999999
1,11.0,36.903901,-111.39040800000001,19.0,36.953549,-111.440816
2,11.0,36.903901,-111.39040800000001,12.0,36.802901,-111.39040800000001
3,11.0,36.903901,-111.39040800000001,138.0,34.101834999999994,-118.18431799999999
4,11.0,36.903901,-111.39040800000001,21.0,36.953559000000006,-111.34081599999999
5,38.0,34.537507,-118.607375,39.0,34.587507,-118.658375
6,46.0,34.545782,-118.58993799999999,47.0,34.380686,-118.47849599999999
7,103.0,36.142099,-120.129849,134.0,36.091099,-120.129849
8,107.0,35.403217,-119.450452,134.0,36.091099,-120.129849
9,136.0,34.150835,-118.18431799999999,142.0,34.037454,-118.109265
10,136.0,34.150835,-118.18431799999999,149.0,34.388084,-118.58276299999999
11,60.0,34.315456,-118.531217,136.0,34.150835,-118.18431799999999
12,25.0,35.932561,-111.349566,26.0,35.732561,-111.54756599999999
13,13.0,35.832561,-111.44856599999999,25.0,35.932561,-111.349566
14,54.0,34.01865,-118.195428,55.0,34.01865,-118.295428
15,36.0,34.551015,-117.43810500000001,55.0,34.01865,-118.295428
16,135.0,33.937267999999996,-116.57798500000001,151.0,34.2436,-118.391667
17,150.0,33.82931,-117.78936000000002,151.0,34.2436,-118.391667
18,41.0,33.714453000000006,-118.14631899999999,42.0,33.762453,-118.096319
19,47.0,34.380686,-118.47849599999999,58.0,34.01865,-117.995428
20,38.0,34.537507,-118.607375,58.0,34.01865,-117.995428
21,144.0,34.007821,-117.5125,150.0,33.82931,-117.78936000000002
22,144.0,34.007821,-117.5125,145.0,34.007821,-117.6105
23,141.0,34.366727000000004,-117.369299,144.0,34.007821,-117.5125
24,143.0,34.007821,-117.5645,144.0,34.007821,-117.5125
25,59.0,34.312456,-118.48121699999999,60.0,34.315456,-118.531217
26,47.0,34.380686,-118.47849599999999,59.0,34.312456,-118.48121699999999
27,38.0,34.537507,-118.607375,59.0,34.312456,-118.48121699999999
28,141.0,34.366727000000004,-117.369299,150.0,33.82931,-117.78936000000002
29,142.0,34.037454,-118.109265,153.0,34.434247,-118.118227
30,142.0,34.037454,-118.109265,145.0,34.007821,-117.6105
31,140.0,33.829491,-118.175177,142.0,34.037454,-118.109265
32,173.0,35.403217,-119.550452,174.0,35.308217,-119.550452
33,107.0,35.403217,-119.450452,173.0,35.403217,-119.550452
34,139.0,33.880491,-118.175177,140.0,33.829491,-118.175177
35,152.0,34.486247,-118.118227,176.0,35.308217,-119.45545200000001
36,175.0,35.403217,-119.45545200000001,176.0,35.308217,-119.45545200000001
37,54.0,34.01865,-118.195428,57.0,34.01865,-117.89542800000001
38,56.0,34.01865,-117.995428,57.0,34.01865,-117.89542800000001
39,40.0,34.157903999999995,-118.280282,57.0,34.01865,-117.89542800000001
40,41.0,33.714453000000006,-118.14631899999999,57.0,34.01865,-117.89542800000001
41,49.0,34.037762,-118.22991699999999,57.0,34.01865,-117.89542800000001
42,13.0,35.832561,-111.44856599999999,20.0,36.853539000000005,-111.34081599999999
43,19.0,36.953549,-111.440816,20.0,36.853539000000005,-111.34081599999999
44,14.0,33.386047,-112.86039699999999,15.0,33.385047,-112.859397
45,107.0,35.403217,-119.450452,175.0,35.403217,-119.45545200000001
46,106.0,37.052929,-121.021929,107.0,35.403217,-119.450452
47,106.0,37.052929,-121.021929,109.0,36.807243,-121.77903700000002
48,103.0,36.142099,-120.129849,106.0,37.052929,-121.021929
49,52.0,33.91865,-118.095428,62.0,34.566258000000005,-117.316428
50,50.0,34.11865,-118.095428,52.0,33.91865,-118.095428
51,18.0,33.706718,-112.322033,24.0,35.731561,-111.34856599999999
52,18.0,33.706718,-112.322033,22.0,36.853549,-111.44080600000001
53,15.0,33.385047,-112.859397,18.0,33.706718,-112.322033
54,26.0,35.732561,-111.54756599999999,138.0,34.101834999999994,-118.18431799999999
55,15.0,33.385047,-112.859397,135.0,33.937267999999996,-116.57798500000001
56,146.0,35.107654,-114.595307,147.0,35.148654,-114.595307
57,138.0,34.101834999999994,-118.18431799999999,146.0,35.107654,-114.595307
