Gen Index, Gen Bus, Upper Bound,1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0
1, 30, 153.18, 0.0,0.0,-22.0,65.0,69.0,148.0,36.0,39.0,-58.0,153.0 
2, 31, 429.8039999999999, 0.0,0.0,0.0,0.0,0.0,108.0,76.0,289.0,430.0,430.0 
3, 32, 446.72200000000004, 0.0,0.0,0.0,0.0,0.0,-48.0,66.0,-69.0,-150.0,395.0 
4, 33, 548.208, 0.0,0.0,0.0,0.0,0.0,0.0,-127.0,-120.0,-147.0,-13.0 
5, 34, 611.495, 0.0,0.0,0.0,0.0,0.0,0.0,0.0,-47.0,-2.0,29.0 
6, 35, 593.788, 0.0,0.0,0.0,0.0,0.0,0.0,0.0,-29.0,155.0,-77.0 
7, 36, 568.372, 0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.0,-146.0,-106.0 
8, 37, 443.468, 0.0,0.0,0.0,0.0,-206.0,-216.0,-216.0,-216.0,-216.0,-133.0 
9, 38, 834.775, 0.0,0.0,0.0,0.0,-113.0,-166.0,-275.0,-305.0,-331.0,-68.0 
10, 39, 574.85, -173.0,-173.0,-173.0,-173.0,-89.0,-160.0,-77.0,-173.0,-14.0,79.0 
