Bus Index,1.0, 2.0, 3.0, 4.0, 5.0
16, 0.0,0.0,1.0,1.0,1.0 
21, 0.0,0.0,0.0,1.0,1.0 
26, 1.0,1.0,1.0,1.0,1.0 
25, 0.0,1.0,1.0,1.0,1.0 
35, 0.0,0.0,1.0,1.0,1.0 
34, 0.0,0.0,1.0,1.0,1.0 
29, 1.0,1.0,1.0,1.0,1.0 
19, 1.0,1.0,1.0,1.0,1.0 
17, 0.0,1.0,1.0,1.0,1.0 
22, 0.0,1.0,1.0,1.0,1.0 
24, 1.0,1.0,1.0,1.0,1.0 
37, 0.0,0.0,1.0,1.0,1.0 
28, 1.0,1.0,1.0,1.0,1.0 
38, 1.0,1.0,1.0,1.0,1.0 
20, 1.0,1.0,1.0,1.0,1.0 
23, 0.0,0.0,1.0,1.0,1.0 
27, 0.0,1.0,1.0,1.0,1.0 
36, 0.0,0.0,1.0,1.0,1.0 
15, 0.0,0.0,1.0,1.0,1.0 
33, 0.0,0.0,1.0,1.0,1.0 
