Bus Index, 1, 2, 3
101, 0.0,0.0,0.0 
102, 0.0,0.0,0.0 
103, 0.0,0.0,0.0 
104, 0.0,0.0,0.0 
105, 0.0,0.0,0.0 
106, 0.0,0.0,0.0 
107, 0.0,0.0,0.0 
108, 0.0,0.0,0.0 
109, 0.0,0.0,1.0715929817719814 
110, 0.0,0.0,1.0987328 
111, 0.0,0.9014838844368788,1.0765331244023653 
112, 0.0,0.0,0.0 
113, 0.0,0.0,1.0432747173761758 
114, 0.9,0.9,1.1 
115, 0.0,0.0,1.0184865871061837 
116, 0.9,0.9,1.023198932387154 
117, 0.0,0.0,0.0 
118, 0.0,0.0,1.1 
119, 0.0,0.0,0.0 
120, 0.0,0.0,0.0 
121, 0.0,0.0,1.029427688199411 
122, 0.0,0.0,1.0674419270532463 
123, 0.0,0.0,0.9661273275837109 
124, 0.0,0.0,0.0 
201, 0.0,0.0,0.0 
202, 0.0,0.0,0.0 
203, 0.0,0.0,0.0 
204, 0.0,0.0,0.0 
205, 0.0,0.0,0.0 
206, 0.0,0.0,0.0 
207, 0.0,0.0,0.0 
208, 0.0,0.0,0.0 
209, 0.0,0.0,1.0977152000000001 
210, 0.0,0.0,1.080956409399188 
211, 0.0,1.0650485436893204,1.0566805658605405 
212, 0.0,0.0,0.0 
213, 0.0,0.0,1.037649486159551 
214, 0.9,1.0623225162098475,1.0471832448704692 
215, 0.0,0.0,1.0411559306806086 
216, 0.0,0.0,0.0 
217, 0.0,0.0,0.0 
218, 0.0,0.0,1.04551598639264 
219, 0.0,0.0,0.0 
220, 0.0,0.0,0.0 
221, 0.0,0.0,1.0540378877449998 
222, 0.0,0.0,1.0349025927133764 
223, 0.0,0.0,0.961429344195701 
224, 0.0,0.0,0.0 
301, 0.0,0.0,1.1 
302, 0.0,0.0,1.1 
303, 0.0,0.0,0.0 
304, 0.0,0.0,0.0 
305, 0.0,0.0,0.0 
306, 0.0,0.0,0.0 
307, 0.0,0.0,1.1 
308, 0.0,0.0,0.0 
309, 0.0,0.0,1.069190453146705 
310, 0.0,0.0,0.0 
311, 0.0,0.0,0.0 
312, 0.0,0.0,0.0 
313, 0.0,0.0,0.0 
314, 0.0,0.0,0.0 
315, 0.0,0.0,0.9033792086206597 
316, 0.9,0.9,0.8999999999999999 
317, 0.0,0.0,0.0 
318, 0.0,0.0,0.8999999999999976 
319, 0.0,0.0,0.0 
320, 0.0,0.0,0.9019316492754922 
321, 0.0,0.0,0.9077026877450016 
322, 0.0,0.0,0.9305020847800012 
323, 0.0,0.0,0.9035452229369013 
324, 0.0,0.0,0.0 
325, 0.0,0.0,0.0 
