Gen Index, Gen Bus,1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0
18, 78, -0.0,-0.0,-2000.0,-2000.0,-1505.0,-1485.0,-1614.0,-1603.0,-1277.0,-2000.0 
30, 180, 0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
2, 5, 0.0,0.0,-151.0,-160.0,-170.0,-204.0,-218.0,400.0,-207.0,-217.0 
16, 69, 0.0,0.0,0.0,0.0,0.0,-325.0,-349.0,-367.0,-463.0,-279.0 
21, 115, 0.0,0.0,0.0,0.0,0.0,0.0,-99.0,-101.0,-141.0,-119.0 
7, 17, 0.0,0.0,-469.0,-473.0,-529.0,-308.0,-289.0,-475.0,-810.0,-797.0 
9, 34, 0.0,0.0,-200.0,479.0,479.0,475.0,562.0,476.0,375.0,286.0 
10, 35, 0.0,0.0,316.0,376.0,129.0,-249.0,43.0,-180.0,-48.0,-150.0 
29, 161, 0.0,0.0,-100.0,-100.0,-100.0,10.0,13.0,115.0,16.0,115.0 
17, 76, -1850.0,-1850.0,-1434.0,-444.0,-540.0,-672.0,-755.0,-818.0,-1163.0,-1278.0 
8, 29, 0.0,0.0,-933.0,146.0,112.0,-38.0,-131.0,-3.0,72.0,660.0 
22, 117, 0.0,0.0,0.0,0.0,0.0,695.0,1618.0,1507.0,834.0,845.0 
4, 10, 0.0,0.0,-125.0,-132.0,-140.0,-168.0,-180.0,-600.0,-171.0,-179.0 
3, 8, 0.0,0.0,-384.0,-385.0,-369.0,-500.0,-500.0,-500.0,2.0,-11.0 
28, 158, 0.0,0.0,315.0,301.0,372.0,143.0,-500.0,-300.0,-500.0,-500.0 
20, 111, 0.0,0.0,0.0,0.0,0.0,235.0,163.0,165.0,581.0,191.0 
13, 44, 0.0,0.0,-440.0,-440.0,39.0,19.0,322.0,56.0,388.0,399.0 
31, 181, 0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 
15, 64, 0.0,0.0,-1000.0,-941.0,-737.0,-767.0,-776.0,-761.0,-828.0,-841.0 
1, 3, 0.0,0.0,-175.0,-176.0,-176.0,-255.0,-259.0,-300.0,-300.0,-300.0 
