Branch Index, From/To, To/From, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0
(1, 101, 102), 0.0,0.0,0.0,0.0,0.0,-106.0,6.0,7.0,8.0,4.0 
(1, 102, 101), 0.0,0.0,0.0,0.0,0.0,106.0,-6.0,-7.0,-8.0,-4.0 
(2, 101, 103), 0.0,-0.0,0.0,0.0,-73.0,-73.0,11.0,9.0,6.0,15.0 
(2, 103, 101), 0.0,0.0,0.0,0.0,73.0,73.0,-11.0,-9.0,-6.0,-15.0 
(3, 101, 105), 0.0,0.0,0.0,0.0,71.0,71.0,68.0,69.0,70.0,65.0 
(3, 105, 101), 0.0,0.0,0.0,0.0,-71.0,-71.0,-68.0,-69.0,-70.0,-65.0 
(4, 102, 104), 0.0,0.0,0.0,0.0,0.0,0.0,47.0,47.0,47.0,46.0 
(4, 104, 102), 0.0,0.0,0.0,0.0,0.0,0.0,-47.0,-47.0,-47.0,-46.0 
(5, 102, 106), 0.0,0.0,0.0,0.0,-2.0,-203.0,54.0,55.0,56.0,52.0 
(5, 106, 102), 0.0,0.0,0.0,0.0,2.0,203.0,-54.0,-55.0,-56.0,-52.0 
(6, 103, 109), 0.0,0.0,0.0,0.0,0.0,0.0,8.0,12.0,17.0,-2.0 
(6, 109, 103), 0.0,0.0,0.0,0.0,0.0,0.0,-8.0,-12.0,-17.0,2.0 
(7, 104, 109), -0.0,0.0,0.0,0.0,0.0,0.0,-27.0,-27.0,-27.0,-28.0 
(7, 109, 104), 0.0,0.0,0.0,0.0,0.0,0.0,27.0,27.0,27.0,28.0 
(8, 105, 110), 0.0,0.0,0.0,0.0,0.0,0.0,-3.0,-2.0,-1.0,-6.0 
(8, 110, 105), 0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,6.0 
(9, 106, 110), -0.0,0.0,0.0,0.0,-100.0,-339.0,-82.0,-81.0,-80.0,-84.0 
(9, 110, 106), 0.0,0.0,0.0,0.0,100.0,339.0,82.0,81.0,80.0,84.0 
(10, 107, 108), 0.0,0.0,177.0,195.0,109.0,36.0,174.0,149.0,164.0,176.0 
(10, 108, 107), 0.0,0.0,-177.0,-195.0,-109.0,-36.0,-174.0,-149.0,-164.0,-176.0 
(11, 107, 203), 0.0,0.0,32.0,35.0,121.0,194.0,56.0,81.0,66.0,54.0 
(11, 203, 107), 0.0,0.0,-32.0,-35.0,-121.0,-194.0,-56.0,-81.0,-66.0,-54.0 
(12, 108, 109), 0.0,0.0,6.0,24.0,-62.0,-135.0,-5.0,-18.0,-11.0,-3.0 
(12, 109, 108), 0.0,0.0,-6.0,-24.0,62.0,135.0,5.0,18.0,11.0,3.0 
(13, 108, 110), 0.0,0.0,0.0,0.0,0.0,0.0,8.0,-4.0,4.0,8.0 
(13, 110, 108), 0.0,0.0,0.0,0.0,0.0,0.0,-8.0,4.0,-4.0,-8.0 
(14, 111, 113), 0.0,0.0,2.0,13.0,-327.0,-241.0,-192.0,-139.0,-122.0,-163.0 
(14, 113, 111), 0.0,0.0,-2.0,-13.0,327.0,241.0,192.0,139.0,122.0,163.0 
(15, 111, 114), 0.0,0.0,3.0,11.0,164.0,76.0,-54.0,-73.0,-84.0,-39.0 
(15, 114, 111), 0.0,0.0,-3.0,-11.0,-164.0,-76.0,54.0,73.0,84.0,39.0 
(16, 112, 113), 0.0,0.0,0.0,0.0,0.0,0.0,0.0,-78.0,-69.0,-88.0 
(16, 113, 112), 0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,69.0,88.0 
(17, 112, 123), 0.0,0.0,0.0,0.0,0.0,-309.0,-225.0,-201.0,-194.0,-194.0 
(17, 123, 112), 0.0,0.0,0.0,0.0,0.0,309.0,225.0,201.0,194.0,194.0 
(18, 113, 123), 0.0,0.0,0.0,13.0,-107.0,-286.0,-135.0,-181.0,-178.0,-168.0 
(18, 123, 113), 0.0,0.0,0.0,-13.0,107.0,286.0,135.0,181.0,178.0,168.0 
(19, 113, 215), 0.0,0.0,0.0,0.0,0.0,0.0,-101.0,-81.0,-58.0,-128.0 
(19, 215, 113), 0.0,0.0,0.0,0.0,0.0,0.0,101.0,81.0,58.0,128.0 
(20, 114, 116), 0.0,0.0,3.0,11.0,164.0,76.0,-248.0,-267.0,-278.0,-233.0 
(20, 116, 114), 0.0,0.0,-3.0,-11.0,-164.0,-76.0,248.0,267.0,278.0,233.0 
(21, 115, 116), 0.0,0.0,-2.0,-4.0,-319.0,-886.0,-13.0,34.0,57.0,-4.0 
(21, 116, 115), 0.0,0.0,2.0,4.0,319.0,886.0,13.0,-34.0,-57.0,4.0 
(22, 115, 121), 0.0,0.0,0.0,2.0,213.0,329.0,-151.0,-178.0,-193.0,-149.0 
(22, 121, 115), 0.0,0.0,0.0,-2.0,-213.0,-329.0,151.0,178.0,193.0,149.0 
(23, 115, 121), 0.0,0.0,0.0,2.0,213.0,329.0,-151.0,-178.0,-193.0,-149.0 
(23, 121, 115), 0.0,0.0,0.0,-2.0,-213.0,-329.0,151.0,178.0,193.0,149.0 
(24, 115, 124), 0.0,0.0,0.0,0.0,73.0,253.0,178.0,183.0,190.0,163.0 
